Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
1.9290831171,0.0011487341,0,171,446,447,
6.6288038529,0.0024355131,0,187,268,269,
5.2078354709,0.0007905766,1,187,,,
3.450140969,0.0007717658,1,75,,,
2.8305349118,0.0015147736,0,75,224,225,
0.3424645496,0.0015144675,0,136,274,275,
8.3731741774,0.0015852914,0,136,286,287,
1.869051164,0.0019046338,0,165,258,259,
8.9999021836,0.0008201793,1,165,,,
9.8644587396,0.0010405475,1,68,,,
1.6407534745,0.0014680871,0,68,248,249,
7.6860869436,0.0009865998,1,217,,,
1.8740812699,0.0012809818,0,217,496,497,
4.5159476388,0.0011105277,0,174,444,445,
5.8194730525,0.0013112494,0,174,234,235,
2.4338746404,0.0012300357,0,210,314,315,
1.8951219195,0.0010066452,0,210,370,371,
2.0749304837,0.0010116098,0,207,378,379,
2.7381537747,0.0008323285,1,207,,,
6.5138671499,0.0012494404,0,202,462,463,
5.4152682709,0.0008154067,1,202,,,
0.4667671574,0.0011178731,0,227,386,387,
3.9957096516,0.0008404783,1,227,,,
10.0115634153,0.0014729442,0,154,336,337,
3.9284942565,0.000695702,1,154,,,
3.675836872,0.0009690849,1,77,,,
3.4194579342,0.0009867601,1,77,,,
0.1976912903,0.0010589793,0,125,256,257,
3.1260795212,0.0012741824,0,125,488,489,
7.591682423,0.0012783308,0,133,448,449,
0.0893208869,0.0017349438,0,133,278,279,
5.9273581916,0.0008110248,1,211,,,
4.2555370292,0.0008810709,1,211,,,
0.2744560046,0.0011335057,0,102,272,273,
0.2056976361,0.0011537949,0,102,288,289,
2.296092804,0.0012482772,0,223,252,253,
5.8914065259,0.0009460452,1,223,,,
0.2882498909,0.0004628675,1,103,,,
2.7500348038,0.0011849559,0,103,470,471,
4.2690190028,0.0009517916,1,248,,,
4.4836743364,0.0009401895,1,248,,,
0.0006662435,0.0010028865,1,201,,,
2.3264745351,0.0001304624,1,201,,,
7.0774370675,0.0008406264,1,240,,,
10.5066030639,0.0007615641,1,240,,,
10.6545408834,0.0008682006,1,220,,,
5.3063519721,0.0017928858,0,220,270,271,
8.6599473708,0.0008467254,1,212,,,
6.6532007998,0.0009044066,1,212,,,
8.8583574853,0.0013381899,0,118,294,295,
8.8108087984,0.0007879121,1,118,,,
6.070231712,0.0008742315,1,80,,,
2.0493143341,0.0012680599,0,80,402,403,
0.6902693478,0.0013285137,0,100,298,299,
7.3770033554,0.0010890773,0,100,418,419,
6.7762880609,0.0020046282,0,214,334,335,
9.489748972,0.0016632021,0,214,296,297,
7.4761338558,0.0008380365,1,259,,,
0.6269974478,0.0016805368,0,259,366,367,
4.4915625627,0.0008826211,1,246,,,
5.6223362191,0.0008344387,1,246,,,
2.54007915,0.001150477,0,218,300,301,
0.3963507991,0.0011450167,0,218,344,345,
0.4330756463,0.0012172553,0,153,394,395,
8.5685935897,0.0008938231,1,153,,,
2.954317604,0.0014907084,0,243,388,389,
10.0643601644,0.001093897,1,243,,,
0.938766521,0.0011592333,0,176,320,321,
0.8486445489,0.001099737,0,176,504,505,
0.0217879452,0.0002266734,1,159,,,
3.8890956986,0.0017410543,0,159,342,343,
4.089081092,0.0013729215,0,156,312,313,
0.8129488134,0.001177577,0,156,340,341,
0.0005785732,0.0000894,1,219,,,
0.5848638049,0.0015848126,0,219,416,417,
4.6678207377,0.0009066914,1,247,,,
6.3290370634,0.0008402405,1,247,,,
0.7050390976,0.0012335998,0,178,376,377,
2.5109632217,0.0007032648,1,178,,,
1.4136668918,0.0013362691,0,2,382,383,
1.8875305114,0.0012837268,0,2,338,339,
0.0002953798,0.0000707,1,262,,,
1.9779639095,0.0013378462,0,262,322,323,
2.5005587728,0.0014385569,0,269,412,413,
7.3958203656,0.0010333218,1,269,,,
17.4754854227,0.0009400163,1,266,,,
10.5047423665,0.00106757,1,266,,,
6.0346716085,0.0009083483,1,274,,,
8.5323609891,0.0008330067,1,274,,,
1.0266522015,0.0010234958,0,172,414,415,
3.8729108241,0.0009564702,1,172,,,
0.0005929192,0.0000932,1,131,,,
2.3712586618,0.0014774058,0,131,360,361,
4.4633338981,0.0007385139,1,145,,,
0.434108577,0.0010251071,0,145,328,329,
3.2235019014,0.001989065,0,134,430,431,
3.1322445045,0.0012896637,0,134,384,385,
10.7983071227,0.0009039694,1,170,,,
8.7028587754,0.0009540633,1,170,,,
0.818208381,0.0011943167,0,284,424,425,
5.0797460282,0.000841589,1,284,,,
7.6788340915,0.0009176392,1,228,,,
6.7867220605,0.0009464132,1,228,,,
2.1705591469,0.0007695817,1,146,,,
0.8528239845,0.0012348016,0,146,450,451,
3.0894163819,0.0008692857,1,193,,,
3.2574172235,0.0008578539,1,193,,,
9.2586279286,0.0008379682,1,280,,,
6.4711988993,0.0009164695,1,280,,,
10.5651293401,0.0010148626,1,295,,,
0.119263046,0.0010129318,0,295,404,405,
4.1385776093,0.0007671617,1,97,,,
4.2979776983,0.0007599476,1,97,,,
4.4730400585,0.0009492096,1,155,,,
13.3349523565,0.0007223788,1,155,,,
3.2337947291,0.0008507798,1,307,,,
7.4493541891,0.0006905826,1,307,,,
4.4729968529,0.0010776249,1,198,,,
6.8756793912,0.0009678061,1,198,,,
