Segment Length:,Segment Radius:,Terminal:,Parent:,Branch1:,Branch2:,Total Segments:
0.2900644269,0.0018616338,0,200,296,297,
4.5320170424,0.0008273029,1,200,,,
4.4240844732,0.0012458076,0,229,404,405,
7.0887605506,0.0009918912,1,229,,,
0.8359063297,0.001284463,0,249,442,443,
3.4070108944,0.001051751,0,249,448,449,
4.1271865001,0.0011275681,0,85,452,453,
12.5573189059,0.0009816249,1,85,,,
8.6340307401,0.0017615892,0,67,322,323,
7.1158507804,0.001196911,0,67,352,353,
9.0550735813,0.0014725479,0,91,370,371,
2.8344467218,0.0011443708,0,91,426,427,
7.4893841557,0.0011789636,0,235,304,305,
0.8746055826,0.0019243181,0,235,410,411,
8.9320215582,0.0008962425,1,222,,,
9.1012657701,0.0008920466,1,222,,,
9.5754419598,0.0009385496,1,230,,,
2.8431922561,0.0011105187,0,230,396,397,
6.8134753669,0.0010200778,1,172,,,
3.5793370919,0.0013788686,0,172,412,413,
4.0281700461,0.0013412869,0,217,346,347,
4.5934692473,0.0013814901,0,217,312,313,
4.2163500951,0.0009850355,1,192,,,
4.0849269155,0.0009928645,1,192,,,
5.043214443,0.0011932924,0,154,460,461,
2.3613604754,0.0011809636,0,154,374,375,
6.3502471786,0.0012448663,0,126,458,459,
6.8575701913,0.0014037218,0,126,350,351,
6.0776863027,0.0014650427,0,199,288,289,
0.6515480506,0.0016941351,0,199,390,391,
3.0576380512,0.0015130627,0,185,376,377,
0.858201948,0.0012802657,0,185,334,335,
5.5150152325,0.0009787652,1,148,,,
7.7700834663,0.0013197886,0,148,310,311,
3.2188299612,0.0011884381,0,250,484,485,
12.8790404853,0.0010074173,1,250,,,
0.7814335139,0.0012616795,0,280,434,435,
5.7395509398,0.0009191201,1,280,,,
0.3854021763,0.0014181494,0,182,348,349,
2.6079513202,0.0011494555,0,182,362,363,
0.1087368923,0.0011101108,0,178,368,369,
10.4148992075,0.0009582568,1,178,,,
10.9685721136,0.00101878,1,168,,,
5.0712494203,0.0014716258,0,168,332,333,
28.0827679121,0.0016298922,0,252,306,307,
15.283619738,0.0011232188,1,252,,,
5.9551486575,0.0008263067,1,101,,,
6.0103685041,0.0008244022,1,101,,,
0.0001576406,0.0000694,1,114,,,
1.3611420063,0.0017007042,0,114,326,327,
1.9610808312,0.0009017163,1,187,,,
3.2173855188,0.0007967425,1,187,,,
0.2879136487,0.0010993592,1,264,,,
4.0710542629,0.0005669287,1,264,,,
0.0020281576,0.0016269649,1,296,,,
11.5161802926,0.0001874246,1,296,,,
0.7800735823,0.0013331741,0,188,408,409,
4.9048137262,0.0007649647,1,188,,,
0.0007746509,0.0013165511,1,285,,,
2.6661745216,0.0001718866,1,285,,,
4.4995189907,0.0010346608,1,273,,,
4.0987765334,0.0010590732,1,273,,,
